Index,Load_Level,Solar_Level,Wind_Level,From_Bus,To_Bus,Before_Min_Voltage,Solar_Headroom_MW,Wind_Headroom_MW,Solar_Support_pu,Wind_Support_pu,Total_Curtailment_MW,After_Min_Voltage,After_Max_Voltage,Safety_Result
62,0.95,0.9,0.9,7,8,0.9427387239250574,0.005143878658459937,0.06197116732461234,1.010251319916379,1.007347609829003,0.06711504598307227,0.950273625963391,1.010251319916379,Safety Corrected
63,0.95,0.9,1.0,7,8,0.9440161513786608,0.005143878658459937,0.06197116732461234,1.0093900128259552,1.0071769122173793,0.06711504598307227,0.9500865207329691,1.0093900128259552,Safety Corrected
68,0.95,1.0,1.0,7,8,0.9372764773582638,0.0007975719061953233,0.0031433398659712454,1.0242965822519412,1.008155063192727,0.003940911772166569,0.9501902324639447,1.0242965822519412,AI Direct
78,1.0,0.6,0.9,6,7,0.9446531208913276,0.0,0.0,1.0489911855321368,1.0483432077500485,0.0,0.9800409694463132,1.0489911855321372,AI Direct
79,1.0,0.6,0.9,7,8,0.9370449257009036,0.0,0.0,1.0002067501374532,1.01336302790208,0.0,0.9502160027713064,1.01336302790208,AI Direct
80,1.0,0.6,0.9,8,2,0.9459922171793186,0.0,0.0,1.0,1.0091981663986993,0.0,0.950016771031776,1.0091981663986995,AI Direct
147,1.05,0.6,0.7,6,7,0.9388202172866084,0.0,0.0,1.0119934851860688,1.0000933526563793,0.0,0.9501026331345372,1.0119934851860688,AI Direct
148,1.05,0.6,0.7,7,8,0.925594943559956,0.0,0.0,1.0013718113473982,1.024679970843312,0.0,0.9503014917029935,1.0246799708433123,AI Direct
149,1.05,0.6,0.7,8,2,0.931814672281795,0.0,0.0,1.0000020228342419,1.0407622626771726,0.0,0.9500975470520898,1.0407622626771724,AI Direct
159,1.05,0.7,0.6,6,7,0.9407003095613272,0.0,0.0,1.0103833541856027,1.0002405342796865,0.0,0.9504800453165213,1.0103833541856024,AI Direct
160,1.05,0.7,0.6,7,8,0.9229433726343766,0.0,0.0,1.0049083038800724,1.0273409105668094,0.0,0.9500923232171488,1.0273409105668094,Safety Corrected
