Index,Fixed_Headroom_Percent,Curtailment_MW,Solved,Secure,Final_Min_Voltage,Final_Max_Voltage
28,15,32.205,True,True,0.9845676877201418,1.05
29,15,32.205,True,False,0.9508090775573529,1.050156843825678
34,15,32.1,True,True,0.9792319281417355,1.0500000000000005
35,15,32.1,True,True,0.9508897011536549,1.0500000000000003
53,15,29.865,True,True,0.987964673141968,1.0500000000000003
56,15,29.759999999999998,True,True,0.9840921145462519,1.0500000000000005
59,15,29.655,True,True,0.9792662393555439,1.0500000000000005
60,15,30.93,True,True,0.9798861319843556,1.0499999999999998
62,15,33.480000000000004,True,True,0.9808480013984751,1.0500000000000005
63,15,34.755,True,True,0.9811978735150282,1.0500000000000003
68,15,37.2,True,True,0.9768116229384399,1.05
78,15,26.144999999999996,True,False,0.9791628570980937,1.0501469186311156
79,15,26.144999999999996,True,True,0.9853851562530876,1.05
80,15,26.144999999999996,True,True,0.9655880003991235,1.05
147,15,23.595,True,True,0.9730510639713649,1.05
148,15,23.595,True,True,0.9752312456661225,1.05
149,15,23.595,True,True,0.9518502562150843,1.05
159,15,24.764999999999997,True,True,0.9757605266804655,1.0499999999999998
160,15,24.764999999999997,True,True,0.9730786432396467,1.05
161,15,24.764999999999997,True,False,0.9497621699599085,1.05
162,15,26.04,True,True,0.9756301477102053,1.0500000000000003
163,15,26.04,True,True,0.9750737785596562,1.05
164,15,26.04,True,True,0.9518502562150843,1.05
174,15,27.209999999999997,True,True,0.9775762115507286,1.0500000000000003
175,15,27.209999999999997,True,True,0.9728424595793488,1.0500000000000003
176,15,27.209999999999997,True,False,0.9497621699599085,1.05
189,15,29.655,True,True,0.9786496195948597,1.0500000000000003
190,15,29.655,True,True,0.9696854440839182,1.0500000000000003
191,15,29.655,True,False,0.9497621699599085,1.05
192,15,30.93,True,True,0.9784783971518143,1.0500000000000003
193,15,30.93,True,True,0.9705738056266575,1.0500000000000003
194,15,30.93,True,True,0.9518502562150843,1.05
222,15,23.595,True,True,0.9685684574694624,1.05
223,15,23.595,True,True,0.9659391235495903,1.05
224,15,23.595,True,True,0.9673615774354224,1.05
225,15,24.869999999999997,True,True,0.9685684574694624,1.05
226,15,24.869999999999997,True,True,0.9658022700751818,1.0500000000000003
227,15,24.869999999999997,True,True,0.9693709232881975,1.05
228,15,26.144999999999996,True,True,0.9685684574694624,1.05
229,15,26.144999999999996,True,True,0.9655899525898727,1.05
230,15,26.144999999999996,True,True,0.9712120603655747,1.05
258,15,31.034999999999997,True,True,0.9727512910087174,1.0499999999999998
259,15,31.034999999999997,True,True,0.9708851883694822,1.05
260,15,31.034999999999997,True,True,0.9706216377587064,1.05
261,15,32.31,True,True,0.9727512910087174,1.0499999999999998
262,15,32.31,True,True,0.9705614513916104,1.0500000000000003
263,15,32.31,True,True,0.9713424570322468,1.0500000000000003
266,15,30.93,True,True,0.9728100470362662,1.0499999999999998
267,15,30.93,True,True,0.9654858368943213,1.05
274,15,32.1,True,True,0.9737102336620382,1.05
275,15,32.1,True,True,0.960367467568587,1.05
287,15,23.595,True,True,0.9602369800533764,1.0499999999999998
288,15,23.595,True,True,0.958297382720628,1.05
289,15,23.595,True,True,0.9590811320330919,1.05
311,15,29.865,True,True,0.9630043135403444,1.0499999999999998
312,15,29.865,True,True,0.9614122106746805,1.0500000000000003
313,15,29.865,True,True,0.9650339614976856,1.0500000000000005
320,15,29.759999999999998,True,True,0.9652143546936448,1.0499999999999996
321,15,29.759999999999998,True,True,0.9646340863004278,1.0500000000000003
322,15,29.759999999999998,True,True,0.9609758644610169,1.05
323,15,31.034999999999997,True,True,0.9652143546936448,1.0499999999999996
324,15,31.034999999999997,True,True,0.964424248807108,1.05
325,15,31.034999999999997,True,True,0.9629875503564759,1.0499999999999998
335,15,32.205,True,True,0.9668983880342168,1.05
336,15,32.205,True,True,0.9665778157732088,1.0500000000000005
337,15,32.205,True,True,0.9606877504485475,1.0500000000000003
373,15,24.764999999999997,True,True,0.9545528389318133,1.0499999999999998
374,15,24.764999999999997,True,True,0.9543652624550478,1.0500000000000003
375,15,24.764999999999997,True,False,0.9476334811634796,1.05
376,15,26.04,True,True,0.9545528389318133,1.0499999999999998
377,15,26.04,True,True,0.9543835075036073,1.0500000000000003
378,15,26.04,True,True,0.9502675136762684,1.0500000000000005
407,15,32.205,True,True,0.9592488305121339,1.0499999999999998
408,15,32.205,True,True,0.9601066795588523,1.05
409,15,32.205,True,False,0.9493407165187266,1.05
7,20,36.56,True,False,0.9531642868447967,1.050339745105049
8,20,33.02,True,True,0.9913714580966975,1.0500000000000003
9,20,33.02,True,False,0.9535301472631486,1.0501185241876119
10,20,34.72,True,True,0.9919106516353038,1.0499999999999998
11,20,34.72,True,False,0.9534490013346258,1.0502763245562758
26,20,41.24,True,True,0.9860278428054235,1.0500000000000005
27,20,41.24,True,False,0.9523399933155828,1.0502348474375338
28,20,42.940000000000005,True,True,0.9864602260258468,1.0500000000000005
29,20,42.940000000000005,True,False,0.9518120857625902,1.050259969881744
34,20,42.800000000000004,True,True,0.9817181955027269,1.05
35,20,42.800000000000004,True,False,0.9518757379118952,1.050043939445653
53,20,39.82,True,True,0.9888192456028296,1.05
56,20,39.68000000000001,True,True,0.9853496025544148,1.0500000000000003
59,20,39.540000000000006,True,True,0.9810386336167757,1.0500000000000003
60,20,41.24,True,True,0.9816635686072503,1.05
62,20,44.64,True,True,0.982662901246749,1.05
63,20,46.34,True,True,0.983044302268086,1.05
68,20,49.6,True,True,0.9792831851488841,1.0500000000000003
78,20,34.86,True,True,0.9784125203075703,1.0500000000000003
79,20,34.86,True,True,0.9851956529829999,1.05
80,20,34.86,True,True,0.9647994445454406,1.05
147,20,31.46,True,True,0.9719937846139977,1.05
148,20,31.46,True,True,0.9744635701486156,1.05
149,20,31.46,True,True,0.9510111259418895,1.05
159,20,33.02,True,True,0.9748128940970001,1.0500000000000005
160,20,33.02,True,True,0.9724058405334183,1.05
161,20,33.02,True,False,0.9489838448849969,1.0500000000000003
162,20,34.72,True,True,0.9747249134214419,1.05
163,20,34.72,True,True,0.9743466935806658,1.0500000000000003
164,20,34.72,True,True,0.9510111259418895,1.05
174,20,36.28,True,True,0.9768493147189257,1.0500000000000005
175,20,36.28,True,True,0.9722194010223549,1.05
176,20,36.28,True,False,0.9489838448849969,1.0500000000000003
189,20,39.540000000000006,True,True,0.9782114107073715,1.0500000000000005
190,20,39.540000000000006,True,True,0.9712590393367168,1.0500000000000003
191,20,39.540000000000006,True,False,0.9489838448849969,1.0500000000000003
192,20,41.24,True,True,0.9780856573580649,1.0500000000000005
193,20,41.24,True,True,0.9721426634198597,1.05
194,20,41.24,True,True,0.9510111259418895,1.05
222,20,31.46,True,True,0.9676086310611784,1.0500000000000003
223,20,31.46,True,True,0.9646627965973477,1.0500000000000003
224,20,31.46,True,True,0.9665081795997467,1.0500000000000003
225,20,33.160000000000004,True,True,0.9676086310611784,1.0500000000000003
226,20,33.160000000000004,True,True,0.9645735371465378,1.0500000000000003
227,20,33.160000000000004,True,True,0.9684743361175271,1.05
228,20,34.86,True,True,0.9676086310611784,1.0500000000000003
229,20,34.86,True,True,0.9644164266973493,1.0500000000000005
230,20,34.86,True,True,0.9702872903543752,1.0500000000000007
258,20,41.38,True,True,0.9719524751969929,1.05
259,20,41.38,True,True,0.9700720924805831,1.05
260,20,41.38,True,True,0.9700101373610792,1.05
261,20,43.08,True,True,0.9719524751969929,1.05
262,20,43.08,True,True,0.9698133077132782,1.05
263,20,43.08,True,True,0.9716692507057081,1.05
266,20,41.24,True,True,0.9721711329664806,1.05
267,20,41.24,True,True,0.96600398965571,1.05
274,20,42.800000000000004,True,True,0.9733749763578153,1.0500000000000003
275,20,42.800000000000004,True,True,0.9624563052508671,1.0500000000000003
287,20,31.46,True,True,0.9591201255074158,1.0500000000000003
288,20,31.46,True,True,0.9567799937495486,1.05
289,20,31.46,True,True,0.9581313262745828,1.05
311,20,39.82,True,True,0.9619343574607881,1.0500000000000003
312,20,39.82,True,True,0.9601955397638036,1.05
313,20,39.82,True,True,0.9640291375160142,1.0500000000000003
320,20,39.68000000000001,True,True,0.9642415998823617,1.05
321,20,39.68000000000001,True,True,0.9635056248089562,1.0500000000000003
322,20,39.68000000000001,True,True,0.9600706920097124,1.0500000000000003
323,20,41.38,True,True,0.9642415998823617,1.05
324,20,41.38,True,True,0.9633526898406658,1.0500000000000003
325,20,41.38,True,True,0.9620500444249852,1.05
335,20,42.940000000000005,True,True,0.9660707175655999,1.0500000000000003
336,20,42.940000000000005,True,True,0.9657259333991957,1.0499999999999998
